date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-06-03,0.01350629899264262,0.013330626617617816,0.023785973311695126,0.011143556942393301,0.018723733212251754,0.012874644630307528,0.016660122380021923,0.014357109675921131,0.029606910049455,0.007921615366021638
2021-06-04,0.01421006944260159,0.01401374631644194,0.02451623444176792,0.010914103486583773,0.017659180510301267,0.012737900584267539,0.016631247992446273,0.014913691258874588,0.0317457024810166,0.007967069397216454
2021-06-07,0.013874753339260281,0.013965041897220613,0.02454178335465195,0.010265833785395513,0.017623471350172597,0.012447587971380332,0.016762078288095075,0.014807043839061196,0.03189207937172819,0.00825849814867432
2021-06-08,0.013909876088059572,0.0138242247669815,0.02473400267057392,0.010322030901159865,0.017769602508263403,0.013317099215550727,0.0168989096359715,0.014775660967018572,0.03164143855487156,0.008144640603601958
2021-06-09,0.012708607246323625,0.012951766567239658,0.022693153455697467,0.010743956912108958,0.01784902644210436,0.011327834288386058,0.013920591498005432,0.013438655142663215,0.028362831481290228,0.0078450701405387
2021-06-10,0.012727637412711098,0.013191794161519143,0.02267979574545526,0.010661560985840993,0.01616307348787115,0.011942368296249143,0.013929239970478322,0.013284283271494194,0.028451126710065625,0.006422179446225778
2021-06-11,0.011476139924568845,0.010970683599442204,0.019920353210966225,0.010529753472078402,0.01634217648284871,0.010587043160864167,0.013500714426244311,0.010775009669852741,0.026546821532676557,0.005828547902619293
2021-06-14,0.0120069863734434,0.0106077634917134,0.019439136272722805,0.00962216747468317,0.016044847889963153,0.01073559080899154,0.013729214172490836,0.010632374076877438,0.025536020298318605,0.005562697457433187
2021-06-15,0.011431884267284717,0.009983449492644987,0.019103136766147263,0.00930201521692862,0.016989795484652962,0.010106267273202562,0.011943681929959883,0.010198568324036436,0.02574461458112099,0.005554416631462669
2021-06-16,0.011209056553417761,0.009555521667662738,0.01887681590354578,0.009430610202915803,0.016375501290426107,0.009850652881983467,0.012691746721358952,0.010351848180489126,0.025253423181434045,0.005722397577804102
2021-06-17,0.011058978087669513,0.009501985348583328,0.019711662032321678,0.010837196010151628,0.016840314466337943,0.010182093936834216,0.012178827505830629,0.009882573891492719,0.025521814999433047,0.005590736772782013
2021-06-18,0.01137797376031678,0.009708072867063908,0.019852515892990658,0.011866312110347934,0.01697233233632517,0.010192451444732287,0.013146435334961378,0.010553230660287826,0.024720289570631156,0.006490867346792636
2021-06-21,0.010908633994353094,0.009632739948013834,0.01971161183952417,0.012710022271116428,0.018532754741709363,0.010578438156603014,0.01284964203305799,0.01047123963976366,0.02337402256330116,0.008385646662453533
2021-06-22,0.010443155271812533,0.009580337774662346,0.019676086789884528,0.01227987083449791,0.01885406353101919,0.010146074250207915,0.013233732197447619,0.01030611119344916,0.023191271033960584,0.008190774950242575
2021-06-23,0.010236359546378406,0.008593179753898209,0.018476445895027963,0.01230476697710006,0.01878763881751381,0.009992756497375943,0.01216045147871674,0.00849396409138376,0.023957466842178837,0.008314272025514826
2021-06-24,0.0102488059401607,0.008610143135077844,0.018408055355912927,0.012515787274822245,0.017781624756570257,0.010848639505869678,0.012104790347832331,0.008497204220858192,0.024828495863336415,0.008473923665890575
2021-06-25,0.010281911027027062,0.00880189169913634,0.018821983991970607,0.012818872677975756,0.01772181179494675,0.011438823475147724,0.012203610582801288,0.008404081743596683,0.024744090511720856,0.009215229280996703
2021-06-28,0.009926714003115086,0.008743553204884685,0.019950090797680668,0.012202820835909565,0.01878921850343392,0.011265456779961982,0.014641199620332442,0.008165368876969718,0.024958674123758004,0.009374149355280479
