date,portfolio_value
2023-09-14,1720952.6168423768
2023-09-15,1690674.9843558357
2023-09-18,1693364.6456052975
2023-09-19,1687780.567885364
2023-09-20,1661737.96252658
2023-09-21,1635941.4539919882
2023-09-22,1637162.169467933
2023-09-25,1652342.105943619
2023-09-26,1633798.7907912994
2023-09-27,1648047.70406945
2023-09-28,1661637.4225750212
2023-09-29,1656277.441292615
2023-10-02,1675952.2864402188
2023-10-03,1650122.600874808
2023-10-04,1659256.6790703407
2023-10-05,1659118.078274119
2023-10-06,1680882.3637633154
2023-10-09,1691865.0232861328
2023-10-10,1696804.9562577414
2023-10-11,1703445.618753289
2023-10-12,1700128.4826260826
2023-10-13,1690825.578860856
2023-10-16,1704862.422542615
2023-10-17,1691591.80452069
2023-10-18,1667253.9885870777
2023-10-19,1654237.716792699
2023-10-20,1626484.0633005702
2023-10-23,1636154.718885721
2023-10-24,1645819.8528894463
2023-10-25,1609464.0495837512
2023-10-26,1574205.5059344391
2023-10-27,1575159.88246502
2023-10-30,1593239.620971458
2023-10-31,1594786.3071739953
2023-11-01,1622116.0343480671
2023-11-02,1654771.3599628475
2023-11-03,1667982.299282305
2023-11-06,1676166.36266655
2023-11-07,1683374.7756702376
2023-11-08,1687942.3215742253
2023-11-09,1682158.855927518
2023-11-10,1714515.300426065
2023-11-13,1719532.3211075906
2023-11-14,1746056.7622536968
2023-11-15,1739909.733686613
2023-11-16,1746627.3643929947
2023-11-17,1749456.498277984
2023-11-20,1765752.0192816309
2023-11-21,1761072.9028198044
2023-11-22,1757111.766444159
2023-11-24,1748621.4600415695
2023-11-27,1748817.4817612504
2023-11-28,1753682.2338305418
2023-11-29,1741637.3383619234
2023-11-30,1733081.1704766192
2023-12-01,1730588.1801702774
2023-12-04,1709333.438915715
2023-12-05,1721188.5620792864
2023-12-06,1702482.542032056
2023-12-07,1725755.9765093673
2023-12-08,1741317.3507825076
2023-12-11,1722712.2300327157
2023-12-12,1733067.6566949731
2023-12-13,1744795.912618747
2023-12-14,1751009.06926652
2023-12-15,1759270.9986769448
2023-12-18,1778796.0516621964
2023-12-19,1786207.944847242
2023-12-20,1759464.0632714212
2023-12-21,1779010.5666702988
2023-12-22,1777875.807132887
2023-12-26,1784555.2956155154
2023-12-27,1787512.031556144
2023-12-28,1783238.3845755786
2023-12-29,1777406.243893074
2024-01-02,1765398.699961869
2024-01-03,1757296.1837435325
2024-01-04,1752392.2756894275
2024-01-05,1760601.8203007693
2024-01-08,1796002.0704713983
2024-01-09,1800055.55206636
2024-01-10,1818273.8031208094
2024-01-11,1819831.8322930504
2024-01-12,1816735.548066657
2024-01-16,1817424.611600106
2024-01-17,1809230.8856181344
2024-01-18,1826097.0542537814
2024-01-19,1855366.4202622245
2024-01-22,1856888.9437205344
2024-01-23,1866888.1401169107
2024-01-24,1888702.511549091
2024-01-25,1889436.2527217253
2024-01-26,1889721.5800660036
2024-01-29,1912606.9354584937
2024-01-30,1915188.7927525006
2024-01-31,1871750.8801758112
2024-02-01,1891158.356963624
2024-02-02,1957167.596576039
2024-02-05,1968654.6442198919
2024-02-06,1965799.6467047187
2024-02-07,1996151.22564327
2024-02-08,1997256.9462827584
2024-02-09,2020941.3276625786
